Wall time,Step,Value
1773329545.059292,5,0.0
1773329677.779179,10,0.0
1773329816.6985495,15,0.0
1773329951.5739062,20,0.0
1773330086.8498957,25,0.0
1773330219.4718757,30,0.0
1773330353.59462,35,0.0
1773330488.4895992,40,0.0
1773330621.8053184,45,0.0
1773330759.5457354,50,0.0
1773330891.906094,55,0.0
1773331028.9864028,60,0.0
1773331166.0707355,65,0.0
1773331300.4557707,70,0.0
1773331424.3723836,75,0.0
1773331531.2764976,80,0.0
1773331632.6439798,85,0.0
1773331833.484614,90,0.0
1773331914.4064913,95,0.0
1773331994.2809806,100,0.0
1773332120.2750487,105,0.0
1773332222.1931953,110,0.0
1773332349.9756918,115,0.0
1773332484.1608572,120,0.0
1773332617.5075438,125,0.0
1773332751.5902395,130,0.0
1773332887.3842645,135,0.0
1773333021.7612894,140,0.0
1773333156.4250972,145,0.0
1773333290.7220683,150,0.0
1773333424.692205,155,0.0
1773333560.51187,160,0.0
1773333694.9455516,165,0.0
1773333831.416706,170,0.0
1773333965.796737,175,0.0
1773334102.596732,180,0.0
1773334237.248055,185,0.0
1773334374.0549128,190,0.0
1773334507.8660614,195,0.0
1773334641.8366623,200,0.0
1773334777.9192243,205,0.0
1773334913.0198922,210,0.0
1773335050.3305047,215,0.0
1773335183.525748,220,0.0
1773335319.710729,225,0.0
1773335454.1095514,230,0.0
1773335589.8393693,235,0.0
1773335724.9062452,240,0.0
1773335856.9331858,245,0.0
1773335992.9867659,250,0.0
1773336127.6297626,255,0.0
1773336261.2329273,260,0.0
1773336514.80093,265,0.0
1773336648.8611665,270,0.0
1773336783.8333216,275,0.0
1773336920.4752672,280,0.0
1773337053.0933368,285,0.0
1773337191.4649906,290,0.0
1773337326.244052,295,0.0
1773337459.362054,300,0.0
1773337594.8579764,305,0.0
1773337730.1955717,310,0.0
1773337864.7206998,315,0.0
1773338000.9209597,320,0.0
1773338135.76163,325,0.0
1773338272.852891,330,0.0
1773338406.5672655,335,0.0
1773338541.2073176,340,0.0
1773338676.9195354,345,0.0
1773338811.1924057,350,0.0
1773338948.9474652,355,0.0
1773339083.2633715,360,0.0
1773339216.8136082,365,0.0
1773339352.8295162,370,0.0
1773339488.1919951,375,0.0
1773339622.5269742,380,0.0
1773339759.280421,385,0.0
1773339894.5043545,390,0.0062500000931322575
1773340030.2771118,395,0.0062500000931322575
1773340165.7375517,400,0.02187499962747097
1773340302.194189,405,0.05624999850988388
1773340439.169902,410,0.24062499403953552
1773340575.0322175,415,0.4437499940395355
1773340708.3631103,420,0.4937500059604645
1773340845.042086,425,0.47187501192092896
1773340979.3660731,430,0.49687498807907104
1773341116.1180546,435,0.4906249940395355
1773341251.188703,440,0.4937500059604645
