Wall time,Step,Value
1773329545.0595763,5,0.0176776684820652
1773329677.7794724,10,0.0353553369641304
1773329816.6988676,15,0.07617851346731186
1773329951.573936,20,0.04082317277789116
1773330086.8500009,25,0.07617851346731186
1773330219.4720058,30,0.3827593922615051
1773330353.5949154,35,0.27585098147392273
1773330488.4899046,40,0.1759178340435028
1773330621.8056107,45,0.19420462846755981
1773330759.5460505,50,0.14834697544574738
1773330891.9063718,55,0.1754986047744751
1773331028.9866753,60,0.15381088852882385
1773331166.0707657,65,0.1327921450138092
1773331300.4557998,70,0.11299163848161697
1773331424.3726745,75,0.09069480001926422
1773331531.2767906,80,0.04902296140789986
1773331632.6442785,85,0.0435551255941391
1773331833.4849257,90,0.04902296140789986
1773331914.4069283,95,0.11700168251991272
1773331994.281202,100,0.14603033661842346
1773332120.275327,105,0.09342675656080246
1773332222.193491,110,0.052603580057621
1773332349.9759216,115,0.04902296140789986
1773332484.1611574,120,0.0176776684820652
1773332617.5078552,125,0.2567194402217865
1773332751.5905335,130,0.1397138386964798
1773332887.3845649,135,0.0694325864315033
1773333021.7615683,140,0.1056365892291069
1773333156.4253986,145,0.11973363906145096
1773333290.7223442,150,0.044403791427612305
1773333424.6924913,155,0.0694325864315033
1773333560.512268,160,0.13741131126880646
1773333694.9458535,165,0.12520147860050201
1773333831.4170122,170,0.18054093420505524
1773333965.7970324,175,0.16012738645076752
1773334102.597034,180,0.10479184985160828
1773334237.2483315,185,0.09932401031255722
1773334374.0551937,190,0.14244970679283142
1773334507.8663354,195,0.17422835528850555
1773334641.8369668,200,0.09385617822408676
1773334777.9195178,205,0.10162653774023056
1773334913.0201883,210,0.13613322377204895
1773335050.3307948,215,0.13613714277744293
1773335183.52603,220,0.1047879233956337
1773335319.7110124,225,0.16917583346366882
1773335454.1095822,230,0.1954866498708725
1773335589.8396819,235,0.0435551255941391
1773335724.9064546,240,0.02314550243318081
1773335856.933455,245,0.09342675656080246
1773335992.9870663,250,0.09257809072732925
1773336127.6300657,255,0.07490041851997375
1773336261.2331865,260,0.11025575548410416
1773336514.801226,265,0.20368251204490662
1773336648.8614564,270,0.31921622157096863
1773336783.8336167,275,0.150889053940773
1773336920.475554,280,0.08984613418579102
1773337053.093622,285,0.17148855328559875
1773337191.4652762,290,0.13151797652244568
1773337326.2446644,295,0.17149248719215393
1773337459.362584,300,0.08437829464673996
1773337594.8580067,305,0.1224655956029892
1773337730.1958725,310,0.19275076687335968
1773337864.7208576,315,0.16012738645076752
1773338000.9212368,320,0.08711417764425278
1773338135.7619317,325,0.13783054053783417
1773338272.853111,330,0.07932969927787781
1773338406.5674772,335,0.0612327978014946
1773338541.2075963,340,0.11110442131757736
1773338676.9198089,345,0.1592787206172943
1773338811.1926723,350,0.14287914335727692
1773338948.9480171,355,0.11110442131757736
1773339083.2636437,360,0.09932401776313782
1773339216.8139055,365,0.12520147860050201
1773339352.8297894,370,0.20411193370819092
1773339488.192308,375,0.24493511021137238
1773339622.5271657,380,0.09932401776313782
1773339759.2807038,385,0.04082317277789116
1773339894.5045717,390,0.0435551255941391
1773340030.2773774,395,0.03999942168593407
1773340165.7381527,400,0.12541109323501587
1773340302.1944706,405,0.15450148284435272
1773340439.1701946,410,0.2150241732597351
1773340575.0325205,415,0.16098922491073608
1773340708.3635027,420,0.06447945535182953
1773340845.042114,425,0.12533585727214813
1773340979.3661938,430,0.1029788926243782
1773341116.1183178,435,0.12994042038917542
1773341251.1888332,440,0.11153385043144226
1773341387.3754003,445,0.0961587056517601
1773341523.6464407,450,0.14919564127922058
1773341658.7389767,455,0.13340125977993011
1773341795.1162689,460,0.04966200888156891
1773341929.5165749,465,0.0258774571120739
1773342064.26287,470,0.18755540251731873
1773342201.3183904,475,0.06451090425252914
1773342338.13499,480,0.13321655988693237
1773342473.910172,485,0.11636067926883698
1773342611.7712576,490,0.2617000341415405
1773342746.5872352,495,0.15628047287464142
1773342883.2058344,500,0.02651650458574295
1773343018.3262665,505,0.11065452545881271
1773343153.0636008,510,0.0564194992184639
1773343289.182427,515,0.12037268280982971
1773343423.4484203,520,0.11838959157466888
1773343558.894085,525,0.05850084125995636
1773343692.8331623,530,0.0176776684820652
1773343828.527995,535,0.07706441730260849
1773343965.9870923,540,0.1295304298400879
1773344104.2226818,545,0.08437830209732056
1773344239.2023036,550,0.08522696793079376
1773344372.9653108,555,0.0482940673828125
1773344509.0082867,560,0.0612327978014946
1773344645.7219837,565,0.09458310902118683
1773344781.0004563,570,0.05850084125995636
1773344915.9336486,575,0.1687605232000351
1773345051.666514,580,0.07999884337186813
1773345187.4382744,585,0.0884801596403122
1773345325.0825956,590,0.0530330054461956
1773345460.389646,595,0.24135471880435944
1773345594.6450489,600,0.4110085964202881
1773345731.8003004,605,0.2150212526321411
1773345867.1156714,610,0.16319482028484344
1773346000.9357226,615,0.1439441442489624
1773346137.4659328,620,0.07216846197843552
1773346272.1140459,625,0.10205596685409546
1773346408.9160604,630,0.19864410161972046
1773346543.2723637,635,0.06733967363834381
1773346679.9481235,640,0.189805269241333
1773346815.9865816,645,0.1582401692867279
1773346950.6884453,650,0.08966142684221268
1773347086.0187254,655,0.0797591283917427
1773347221.3392093,660,0.1947256475687027
1773347357.53052,665,0.09342675656080246
1773347492.7423954,670,0.08775126188993454
1773347627.825851,675,0.16422924399375916
1773347762.8666925,680,0.13564306497573853
1773347899.8409355,685,0.08522696793079376
1773348033.7827337,690,0.07871633768081665
1773348170.791703,695,0.15456460416316986
1773348307.2030184,700,0.0435551293194294
1773348442.670893,705,0.07216846197843552
1773348579.7820327,710,0.096588134765625
1773348715.715678,715,0.2911311686038971
1773348852.527683,720,0.11195309460163116
1773348988.510488,725,0.10205596685409546
1773349124.4642506,730,0.10752380639314651
1773349261.193737,735,0.08164634555578232
1773349397.00446,740,0.0871102511882782
1773349532.4255438,745,0.0871102511882782
1773349668.2715209,750,0.12373349070549011
1773349803.2078679,755,0.13741131126880646
1773349940.4556565,760,0.12246952205896378
1773350075.5519128,765,0.14372780919075012
1773350210.5992577,770,0.0694325864315033
1773350349.0123644,775,0.04987162724137306
1773350485.7342021,780,0.09342675656080246
1773350621.0608418,785,0.0353553369641304
1773350758.9713254,790,0.0258774571120739
1773350892.5125713,795,0.04987162724137306
1773351028.217939,800,0.04082317277789116
1773351164.0284007,805,0.07617851346731186
1773351299.664867,810,0.10205596685409546
1773351436.5231483,815,0.10162654519081116
1773351572.9199288,820,0.0176776684820652
1773351708.5738642,825,0.09342675656080246
