Wall time,Step,Value
1773329545.0597663,5,183.06875610351562
1773329677.7796679,10,171.81875610351562
1773329816.6990612,15,204.6687469482422
1773329951.573955,20,204.13125610351562
1773330086.8504503,25,242.58749389648438
1773330219.4721208,30,232.30624389648438
1773330353.595105,35,228.0500030517578
1773330488.4901052,40,219.8312530517578
1773330621.8058143,45,200.84375
1773330759.5462394,50,211.3937530517578
1773330891.9065495,55,202.09375
1773331028.9868748,60,206.28125
1773331166.0707855,65,204.75
1773331300.456413,70,183.3125
1773331424.3728752,75,181.8562469482422
1773331531.276996,80,142.05624389648438
1773331632.644469,85,130.60000610351562
1773331833.4851203,90,113.4124984741211
1773331914.406948,95,89.7750015258789
1773331994.2812798,100,113.2125015258789
1773332120.2755089,105,154.60000610351562
1773332222.1936793,110,139.38125610351562
1773332349.9760337,115,201.7687530517578
1773332484.1615689,120,170.6999969482422
1773332617.508047,125,190.8125
1773332751.5907276,130,242.1437530517578
1773332887.3847563,135,253.7375030517578
1773333021.76175,140,252.15625
1773333156.425589,145,256.0
1773333290.7225285,150,256.0
1773333424.6926801,155,256.0
1773333560.512538,160,256.0
1773333694.9460573,165,256.0
1773333831.4171927,170,256.0
1773333965.7972085,175,253.7062530517578
1773334102.59722,180,256.0
1773334237.2485144,185,256.0
1773334374.0553746,190,256.0
1773334507.866521,195,256.0
1773334641.837159,200,256.0
1773334777.919877,205,256.0
1773334913.0206163,210,256.0
1773335050.3309984,215,256.0
1773335183.5262063,220,256.0
1773335319.711191,225,256.0
1773335454.1096008,230,256.0
1773335589.8398917,235,256.0
1773335724.9065623,240,256.0
1773335856.933638,245,256.0
1773335992.9872513,250,256.0
1773336127.630254,255,256.0
1773336261.2334254,260,256.0
1773336514.8014581,265,256.0
1773336648.8616557,270,256.0
1773336783.833804,275,256.0
1773336920.4758677,280,256.0
1773337053.0938172,285,256.0
1773337191.4654615,290,256.0
1773337326.2446861,295,256.0
1773337459.3626034,300,256.0
1773337594.8581867,305,256.0
1773337730.1960711,310,256.0
1773337864.7209747,315,256.0
1773338000.9214108,320,256.0
1773338135.7621179,325,256.0
1773338272.8531861,330,256.0
1773338406.567552,335,256.0
1773338541.2077732,340,256.0
1773338676.92033,345,256.0
1773338811.1928504,350,256.0
1773338948.9480367,355,256.0
1773339083.2638583,360,256.0
1773339216.8140903,365,256.0
1773339352.8299916,370,256.0
1773339488.192499,375,256.0
1773339622.527287,380,256.0
1773339759.2809014,385,256.0
1773339894.5046825,390,256.0
1773340030.277563,395,256.0
1773340165.738175,400,256.0
1773340302.1946514,405,256.0
1773340439.1703901,410,256.0
1773340575.0326996,415,256.0
1773340708.363531,420,256.0
1773340845.0421324,425,256.0
1773340979.3663018,430,256.0
1773341116.1184928,435,256.0
1773341251.1889627,440,256.0
1773341387.3755853,445,256.0
1773341523.6465178,450,256.0
1773341658.739167,455,256.0
1773341795.1164498,460,256.0
1773341929.5167716,465,256.0
1773342064.2629793,470,256.0
1773342201.3185701,475,256.0
1773342338.135182,480,256.0
1773342473.9106452,485,256.0
1773342611.7714376,490,256.0
1773342746.587412,495,256.0
1773342883.2060218,500,256.0
1773343018.3262885,505,256.0
1773343153.0640416,510,256.0
1773343289.182605,515,256.0
1773343423.4484386,520,256.0
1773343558.894274,525,256.0
1773343692.8333414,530,256.0
1773343828.5281858,535,256.0
1773343965.9872801,540,256.0
1773344104.2228937,545,256.0
1773344239.2024825,550,256.0
1773344372.965493,555,256.0
1773344509.0083976,560,256.0
1773344645.7221627,565,256.0
1773344781.000635,570,256.0
1773344915.9338374,575,256.0
1773345051.6666253,580,256.0
1773345187.438458,585,256.0
1773345325.082614,590,256.0
1773345460.3896658,595,256.0
1773345594.6452236,600,256.0
1773345731.8003187,605,256.0
1773345867.11569,610,256.0
1773346000.9359345,615,256.0
1773346137.466128,620,256.0
1773346272.1142216,625,256.0
1773346408.916079,630,256.0
1773346543.2725766,635,256.0
1773346679.9483056,640,256.0
1773346815.9867558,645,256.0
1773346950.6886194,650,256.0
1773347086.0189362,655,256.0
1773347221.33928,660,256.0
1773347357.530708,665,256.0
1773347492.7425773,670,256.0
1773347627.826289,675,256.0
1773347762.8667119,680,256.0
1773347899.8411682,685,256.0
1773348033.791326,690,256.0
1773348170.7919097,695,256.0
1773348307.203038,700,256.0
1773348442.6710827,705,256.0
1773348579.782106,710,256.0
1773348715.7158716,715,256.0
1773348852.5277023,720,256.0
1773348988.5106819,725,256.0
1773349124.4644847,730,256.0
1773349261.193956,735,256.0
1773349397.0044785,740,256.0
1773349532.4257183,745,256.0
1773349668.2716992,750,256.0
1773349803.207986,755,256.0
1773349940.4558506,760,256.0
1773350075.5519404,765,256.0
1773350210.5993822,770,256.0
1773350349.012386,775,256.0
1773350485.734377,780,256.0
1773350621.0610316,785,256.0
1773350758.971502,790,256.0
1773350892.5127506,795,256.0
1773351028.2181208,800,256.0
1773351164.0284204,805,256.0
1773351299.66489,810,256.0
1773351436.5231683,815,256.0
1773351572.9199483,820,256.0
1773351708.5738833,825,256.0
1773351843.0160043,830,256.0
1773351978.777773,835,256.0
1773352115.795458,840,256.0
1773352251.5372286,845,256.0
1773352389.0705276,850,256.0
1773352526.220055,855,256.0
1773352662.397175,860,256.0
1773352798.353659,865,256.0
1773352933.3817792,870,256.0
1773353067.4704626,875,256.0
1773353204.548256,880,256.0
1773353342.5786715,885,256.0
1773353480.1970537,890,256.0
1773353614.356485,895,256.0
1773353751.0559764,900,256.0
1773353889.7015185,905,256.0
1773354023.9234247,910,256.0
1773354160.468108,915,256.0
1773354296.4208837,920,256.0
1773354431.2564335,925,256.0
1773354568.2591176,930,256.0
1773354704.0190508,935,256.0
1773354838.6708157,940,256.0
1773354974.5719862,945,256.0
1773355111.0026762,950,256.0
1773355245.159029,955,256.0
1773355381.1072557,960,256.0
1773355518.484814,965,256.0
1773355655.3773382,970,256.0
1773355790.2524242,975,256.0
1773355924.9593055,980,256.0
1773356061.3653426,985,256.0
1773356197.011221,990,256.0
1773356334.663396,995,256.0
1773356469.3755212,1000,256.0
1773356605.948568,1005,256.0
1773356741.662241,1010,256.0
1773356877.7515898,1015,256.0
1773357013.0955367,1020,256.0
1773357148.9135158,1025,256.0
1773357285.565063,1030,256.0
1773357421.544105,1035,256.0
1773357560.0639477,1040,256.0
1773357696.1710901,1045,256.0
1773357832.9595666,1050,256.0
1773357967.228122,1055,256.0
1773358101.9936266,1060,256.0
1773358238.2156959,1065,256.0
1773358374.7620053,1070,256.0
1773358510.5281117,1075,256.0
1773358646.2691183,1080,256.0
1773358783.9678156,1085,256.0
1773358921.2317898,1090,256.0
1773359058.123699,1095,256.0
1773359194.7189074,1100,256.0
1773359329.5217865,1105,256.0
1773359465.758237,1110,256.0
1773359601.2535646,1115,256.0
1773359736.6711957,1120,256.0
1773359873.4838114,1125,256.0
1773360009.7833877,1130,256.0
1773360143.6032953,1135,256.0
1773360280.2064383,1140,256.0
1773360415.0316157,1145,256.0
1773360549.8344257,1150,256.0
1773360686.1808853,1155,256.0
1773360821.6017358,1160,256.0
1773360956.4095807,1165,256.0
1773361093.1448934,1170,256.0
1773361229.6126857,1175,256.0
1773361367.1775243,1180,256.0
1773361502.3615813,1185,256.0
1773361637.9567695,1190,256.0
1773361775.3019419,1195,256.0
1773361909.5317907,1200,256.0
1773362046.5660193,1205,256.0
1773362184.1614943,1210,256.0
1773362318.2667832,1215,256.0
1773362455.0685637,1220,256.0
1773362591.1277115,1225,256.0
1773362728.3222091,1230,256.0
1773362864.2859445,1235,256.0
1773363001.3435857,1240,256.0
1773363138.9613867,1245,256.0
1773363275.9363854,1250,256.0
1773363410.9657211,1255,256.0
1773363547.1553547,1260,256.0
1773363683.146433,1265,256.0
1773363818.507271,1270,256.0
1773363955.9895432,1275,256.0
1773364090.1189952,1280,256.0
1773364227.669912,1285,256.0
1773364365.495151,1290,256.0
1773364500.863078,1295,256.0
1773364637.8514187,1300,256.0
1773364774.5387928,1305,256.0
1773364910.803932,1310,256.0
1773365045.71489,1315,256.0
1773365181.815411,1320,256.0
1773365319.0149183,1325,256.0
1773365455.9811804,1330,256.0
1773365591.8996575,1335,256.0
1773365729.3600578,1340,256.0
1773365866.049175,1345,256.0
1773366003.2179894,1350,256.0
1773366140.827634,1355,256.0
1773366277.8257954,1360,256.0
1773366413.3388114,1365,256.0
1773366548.108449,1370,256.0
1773366683.3343215,1375,256.0
1773366821.5474827,1380,256.0
1773366958.2757523,1385,256.0
1773367094.3893864,1390,256.0
1773367228.6671994,1395,256.0
1773367364.0042193,1400,256.0
1773367503.387659,1405,256.0
1773367639.4147077,1410,256.0
1773367775.2067828,1415,256.0
1773367913.32124,1420,256.0
1773368047.5641131,1425,256.0
1773368183.173265,1430,256.0
1773368320.0684423,1435,256.0
1773368456.3100076,1440,256.0
1773368594.6245584,1445,256.0
1773368731.8991985,1450,256.0
1773368867.965843,1455,256.0
1773369002.765207,1460,256.0
1773369139.8367722,1465,256.0
1773369277.3898187,1470,256.0
1773369412.277701,1475,256.0
1773369548.1658132,1480,256.0
1773369685.0045755,1485,256.0
1773369820.5666575,1490,256.0
1773369960.137756,1495,256.0
1773370096.6107845,1500,256.0
1773370234.7157521,1505,256.0
1773370371.1024153,1510,256.0
1773370507.9191852,1515,256.0
1773370644.0038838,1520,256.0
1773370780.8814363,1525,256.0
1773370917.9457023,1530,256.0
1773371055.4053416,1535,256.0
1773371191.258101,1540,256.0
1773371325.7587316,1545,256.0
1773371462.9840245,1550,256.0
1773371599.0517013,1555,256.0
1773371733.2742608,1560,256.0
1773371871.4334793,1565,256.0
1773372005.1869922,1570,256.0
1773372142.9015718,1575,256.0
1773372276.9994848,1580,256.0
1773372412.8141541,1585,256.0
1773372549.582789,1590,256.0
1773372687.7905617,1595,256.0
1773372825.555057,1600,256.0
1773372965.6551266,1605,256.0
1773373101.1279554,1610,256.0
1773373238.9880106,1615,256.0
1773373373.7616878,1620,256.0
1773373510.670116,1625,256.0
1773373648.4173422,1630,256.0
1773373783.649298,1635,256.0
1773373922.2619703,1640,256.0
1773374056.113273,1645,256.0
1773374190.614037,1650,256.0
1773374327.6112905,1655,256.0
1773374463.0524597,1660,256.0
1773374597.6605222,1665,256.0
1773374734.4358552,1670,256.0
1773374871.5673273,1675,256.0
1773375009.731141,1680,256.0
1773375145.9544575,1685,256.0
1773375282.9206107,1690,256.0
1773375420.3789935,1695,256.0
1773375555.2895703,1700,256.0
1773375694.2850354,1705,256.0
1773375827.7226639,1710,256.0
1773375963.5266597,1715,256.0
1773376101.2772176,1720,256.0
1773376236.878849,1725,256.0
1773376373.4377587,1730,256.0
1773376512.570298,1735,256.0
1773376649.1016343,1740,256.0
1773376787.7829366,1745,256.0
1773376923.437432,1750,256.0
1773377058.9400353,1755,256.0
1773377195.078466,1760,256.0
1773377330.6125479,1765,256.0
1773377467.9740756,1770,256.0
1773377604.8500574,1775,256.0
1773377741.3859482,1780,256.0
1773377878.3178704,1785,256.0
1773378013.2786698,1790,256.0
1773378147.9487844,1795,256.0
1773378285.1480193,1800,256.0
1773378422.9840329,1805,256.0
1773378561.670419,1810,256.0
1773378698.7526965,1815,256.0
1773378835.7600248,1820,256.0
1773378973.2553148,1825,256.0
1773379107.3207457,1830,256.0
1773379242.0166812,1835,256.0
1773379380.3569398,1840,256.0
1773379516.2441342,1845,256.0
1773379653.6569374,1850,256.0
1773379790.0566587,1855,256.0
1773379926.6477091,1860,256.0
1773380064.2671907,1865,256.0
1773380146.3040755,1868,256.0
